time_period_start,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded,previous_day_price_close,daily_return_in_percentage,daily_squared_return_in_percentage
2018-12-14,0.02168225,0.02469392,0.02162,0.023735,2018-12-14T23:56:06.4170000Z,2018-12-14T00:03:25.3570000Z,2018-12-15T00:00:00.0000000Z,2018-12-14T00:00:00.0000000Z,2091,8962.08614791,,,
2018-12-15,0.021106200000000002,0.02261778,0.0202,0.02170393,2018-12-15T23:52:06.3570000Z,2018-12-15T00:00:07.0800000Z,2018-12-16T00:00:00.0000000Z,2018-12-15T00:00:00.0000000Z,2394,9367.97518569,0.02168225,-2.6927117291863034,7.250696456497492
2018-12-16,0.02386647,0.02477699,0.02078009,0.021106200000000002,2018-12-16T23:59:01.6230000Z,2018-12-16T00:00:02.2100000Z,2018-12-17T00:00:00.0000000Z,2018-12-16T00:00:00.0000000Z,3587,12056.99609822,0.021106200000000002,12.290770885867941,151.063048968899
2018-12-17,0.023099900000000003,0.02483748,0.022555000000000002,0.02391227,2018-12-17T23:55:39.0170000Z,2018-12-17T00:00:06.5000000Z,2018-12-18T00:00:00.0000000Z,2018-12-17T00:00:00.0000000Z,2596,8772.55761442,0.02386647,-3.2646256527026907,10.657780652284469
2018-12-18,0.02299306,0.0242,0.02180057,0.02309992,2018-12-18T23:56:03.3900000Z,2018-12-18T00:01:54.6170000Z,2018-12-19T00:00:00.0000000Z,2018-12-18T00:00:00.0000000Z,2407,8017.48126934,0.023099900000000003,-0.46358572477451787,0.21491172421471502
2018-12-19,0.02325994,0.025222,0.02230231,0.02283829,2018-12-19T23:59:21.9770000Z,2018-12-19T00:00:21.7530000Z,2018-12-20T00:00:00.0000000Z,2018-12-19T00:00:00.0000000Z,4549,14147.55012574,0.02299306,1.1540136285204117,1.3317474548108468
2018-12-20,0.02697429,0.0298,0.02286337,0.02325994,2018-12-20T23:59:43.0330000Z,2018-12-20T00:00:18.9300000Z,2018-12-21T00:00:00.0000000Z,2018-12-20T00:00:00.0000000Z,11139,31743.78405782,0.02325994,14.815162257901138,219.48903272793834
2018-12-21,0.02793557,0.03845,0.02616187,0.02697429,2018-12-21T23:58:15.5130000Z,2018-12-21T00:00:42.6900000Z,2018-12-22T00:00:00.0000000Z,2018-12-21T00:00:00.0000000Z,18469,48364.42035032,0.02697429,3.5016597082894396,12.261620712657683
2018-12-22,0.0272,0.02984,0.02656776,0.02796467,2018-12-22T23:59:16.9470000Z,2018-12-22T00:00:24.4570000Z,2018-12-23T00:00:00.0000000Z,2018-12-22T00:00:00.0000000Z,3389,7475.00302523,0.02793557,-2.6683813911462018,7.120259248615339
2018-12-23,0.02674193,0.02825,0.026005,0.0272,2018-12-23T23:55:42.2300000Z,2018-12-23T00:01:12.8430000Z,2018-12-24T00:00:00.0000000Z,2018-12-23T00:00:00.0000000Z,2606,5831.89004751,0.0272,-1.6984227718169098,2.884639911826235
2018-12-24,0.02515601,0.02732871,0.024999,0.02697264,2018-12-24T23:55:12.3330000Z,2018-12-24T00:02:24.6070000Z,2018-12-25T00:00:00.0000000Z,2018-12-24T00:00:00.0000000Z,2125,4764.49670762,0.02674193,-6.113591138312602,37.37599660645437
2018-12-25,0.02441422,0.02526088,0.02351,0.02526086,2018-12-25T23:37:54.5930000Z,2018-12-25T00:00:22.7630000Z,2018-12-26T00:00:00.0000000Z,2018-12-25T00:00:00.0000000Z,1768,5156.79941443,0.02515601,-2.9931084770580707,8.958698355436884
